du-id,nrCellIdentity,ue-id,RF.serving.RSRP
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1009,c9/B13,Waiting passenger 10,-117.56363787749667
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1002,c2/N77,Waiting passenger 3,-117.7378034373918
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1009,c9/N77,Waiting passenger 5,-118.08238894918784
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1003,c3/N77,Waiting passenger 9,-117.22098155116306
1010,c10/N77,Waiting passenger 8,-114.80158864270824
1003,c3/B13,Waiting passenger 1,-118.22971706732746
1003,c3/B13,Waiting passenger 2,-117.24901954659374
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1009,c9/B13,Waiting passenger 4,-120.37982778052697
1009,c9/N77,Waiting passenger 6,-116.15870288554056
1002,c2/N77,Waiting passenger 7,-115.50312219373316
1003,c3/N77,Waiting passenger 9,-117.22098155116306
